"Timestamp","What is your daily screen time on your phone? If you cant find the exact please round your answers."
"2021/10/20 10:58:35 PM MDT","6hrs"
"2021/10/20 11:00:03 PM MDT","12hrs"
"2021/10/20 11:03:59 PM MDT","1hrs"
"2021/10/20 11:04:43 PM MDT","5hrs"
"2021/10/20 11:17:00 PM MDT","7hrs"
"2021/10/20 11:19:28 PM MDT","6hrs"
"2021/10/20 11:21:28 PM MDT","8hrs"
"2021/10/20 11:22:54 PM MDT","3hrs"
"2021/10/20 11:23:56 PM MDT","8hrs"
"2021/10/20 11:27:35 PM MDT","10hrs"
"2021/10/20 11:27:38 PM MDT","5hrs"
"2021/10/20 11:34:45 PM MDT","10hrs"
"2021/10/20 11:39:20 PM MDT","9hrs"
"2021/10/21 12:03:16 AM MDT","5hrs"
"2021/10/21 12:06:02 AM MDT","7hrs"
"2021/10/21 12:17:07 AM MDT","6hrs"
"2021/10/21 12:33:23 AM MDT","8hrs"
"2021/10/21 12:51:53 AM MDT","2hrs"
"2021/10/21 1:00:20 AM MDT","4hrs"
"2021/10/21 1:17:31 AM MDT","6hrs"
"2021/10/21 1:26:35 AM MDT","7hrs"
"2021/10/21 1:49:59 AM MDT","6hrs"
"2021/10/21 2:08:49 AM MDT","4hrs"
"2021/10/21 2:14:04 AM MDT","9hrs"
"2021/10/21 2:14:06 AM MDT","4hrs"
"2021/10/21 2:16:54 AM MDT","7hrs"
"2021/10/21 2:23:47 AM MDT","7hrs"
"2021/10/21 2:36:02 AM MDT","7hrs"
"2021/10/21 2:59:09 AM MDT","5hrs"
"2021/10/21 3:00:28 AM MDT","12+hrs"
"2021/10/21 3:08:21 AM MDT","4hrs"
"2021/10/21 3:08:43 AM MDT","3hrs"
"2021/10/21 3:36:08 AM MDT","8hrs"
"2021/10/21 3:38:03 AM MDT","7hrs"
"2021/10/21 4:28:10 AM MDT","7hrs"
"2021/10/21 4:40:48 AM MDT","10hrs"
"2021/10/21 5:59:59 AM MDT","3hrs"
"2021/10/21 6:14:45 AM MDT","5hrs"
"2021/10/21 6:21:04 AM MDT","6hrs"
"2021/10/21 6:58:20 AM MDT","3hrs"
"2021/10/21 8:26:11 AM MDT","2hrs"
"2021/10/21 9:05:04 AM MDT","1hrs"
"2021/10/21 9:06:15 AM MDT","4hrs"
"2021/10/21 9:12:53 AM MDT","4hrs"
"2021/10/21 9:20:14 AM MDT","3hrs"
"2021/10/21 9:43:43 AM MDT","3hrs"
"2021/10/21 10:07:20 AM MDT","3hrs"
"2021/10/21 10:38:06 AM MDT","4hrs"
"2021/10/21 11:12:55 AM MDT","6hrs"
"2021/10/21 11:22:29 AM MDT","3hrs"
"2021/10/21 11:24:30 AM MDT","3hrs"
"2021/10/21 11:30:07 AM MDT","6hrs"
"2021/10/21 12:01:08 PM MDT","6hrs"
"2021/10/21 12:01:55 PM MDT","7hrs"
"2021/10/21 12:09:18 PM MDT","5hrs"
"2021/10/21 1:05:43 PM MDT","5hrs"
"2021/10/21 1:16:35 PM MDT","8hrs"
"2021/10/21 1:48:13 PM MDT","8hrs"
"2021/10/21 2:44:58 PM MDT","6hrs"
"2021/10/21 2:58:32 PM MDT","4hrs"
"2021/10/21 3:00:06 PM MDT","3hrs"
"2021/10/21 3:03:40 PM MDT","7hrs"
"2021/10/21 3:06:19 PM MDT","10hrs"
"2021/10/21 3:06:41 PM MDT","5hrs"
"2021/10/21 3:12:44 PM MDT","3hrs"
"2021/10/21 3:32:55 PM MDT","7hrs"
"2021/10/21 3:38:16 PM MDT","3hrs"
"2021/10/21 3:39:15 PM MDT","1hrs"
"2021/10/21 3:45:03 PM MDT","5hrs"
"2021/10/21 3:46:26 PM MDT","1hrs"
"2021/10/21 3:47:28 PM MDT","5hrs"
"2021/10/21 4:08:45 PM MDT","3hrs"
"2021/10/21 4:17:24 PM MDT","6hrs"
"2021/10/21 4:28:57 PM MDT","2hrs"
"2021/10/21 4:40:36 PM MDT","9hrs"
"2021/10/21 4:46:45 PM MDT","12+hrs"
"2021/10/21 5:24:11 PM MDT","6hrs"
"2021/10/21 5:32:44 PM MDT","10hrs"
"2021/10/21 6:11:20 PM MDT","4hrs"
"2021/10/21 6:23:11 PM MDT","6hrs"
"2021/10/21 6:48:06 PM MDT","5hrs"
"2021/10/21 7:21:26 PM MDT","4hrs"
"2021/10/21 9:15:15 PM MDT","5hrs"
"2021/10/21 9:36:17 PM MDT","4hrs"
"2021/10/21 9:38:36 PM MDT","6hrs"
"2021/10/21 10:02:11 PM MDT","9hrs"
"2021/10/21 10:25:50 PM MDT","8hrs"
"2021/10/21 10:42:12 PM MDT","12hrs"
"2021/10/21 11:01:20 PM MDT","2hrs"
"2021/10/21 11:35:36 PM MDT","7hrs"
"2021/10/22 2:23:02 AM MDT","4hrs"
"2021/10/22 9:02:02 AM MDT","12+hrs"
"2021/10/22 10:32:57 AM MDT","2hrs"
"2021/10/22 2:37:13 PM MDT","7hrs"
"2021/10/23 12:29:02 AM MDT","4hrs"
"2021/10/23 4:25:10 AM MDT","2hrs"
"2021/10/23 12:35:42 PM MDT","1hrs"
"2021/10/23 12:56:36 PM MDT","7hrs"
"2021/10/23 6:52:55 PM MDT",""
"2021/10/23 7:06:22 PM MDT","5hrs"
"2021/10/23 7:59:07 PM MDT","3hrs"
"2021/10/24 5:50:15 PM MDT",""
"2021/10/25 9:03:26 AM MDT",""
"2021/10/25 2:27:48 PM MDT","9hrs"
"2021/10/25 2:32:57 PM MDT","8hrs"
"2021/10/25 2:44:20 PM MDT","5hrs"
"2021/10/25 2:50:50 PM MDT","5hrs"
"2021/10/25 2:51:43 PM MDT","5hrs"
"2021/10/25 3:25:32 PM MDT","8hrs"
"2021/10/25 3:44:53 PM MDT","5hrs"
"2021/10/25 3:45:37 PM MDT","7hrs"
"2021/10/25 4:07:44 PM MDT","6hrs"
"2021/10/25 4:13:43 PM MDT","4hrs"
"2021/10/25 4:48:01 PM MDT","7hrs"
"2021/10/25 5:16:45 PM MDT","9hrs"
"2021/10/25 5:32:06 PM MDT","2hrs"
"2021/10/25 5:54:52 PM MDT","2hrs"
"2021/10/25 7:25:45 PM MDT","4hrs"
"2021/10/26 6:05:45 PM MDT",""
"2021/10/27 7:38:08 AM MDT","4hrs"
"2021/10/27 6:09:13 PM MDT",""
"2021/10/28 10:39:04 AM MDT","8hrs"
"2021/10/28 10:40:05 AM MDT","2hrs"
"2021/10/28 10:45:09 AM MDT","6hrs"
"2021/10/28 10:46:36 AM MDT","11hrs"
"2021/10/28 10:49:56 AM MDT","2hrs"
"2021/10/28 10:50:52 AM MDT","4hrs"
"2021/10/28 10:56:43 AM MDT","2hrs"
"2021/10/28 11:01:37 AM MDT","6hrs"
"2021/10/28 11:01:50 AM MDT","4hrs"
"2021/10/28 11:01:50 AM MDT","12+hrs"
"2021/10/28 11:09:25 AM MDT","7hrs"
"2021/10/28 11:14:48 AM MDT","4hrs"
"2021/10/28 11:28:17 AM MDT","9hrs"
"2021/10/28 11:39:08 AM MDT","6hrs"
"2021/10/28 11:40:54 AM MDT","6hrs"
"2021/10/28 11:53:33 AM MDT","4hrs"
"2021/10/28 12:33:08 PM MDT","4hrs"
"2021/10/28 12:53:41 PM MDT","12hrs"
"2021/10/28 1:43:50 PM MDT","4hrs"
"2021/10/28 1:49:18 PM MDT","9hrs"
"2021/10/28 4:57:33 PM MDT","3hrs"
"2021/10/28 9:26:05 PM MDT","8hrs"
"2021/10/28 9:31:44 PM MDT","6hrs"
"2021/10/29 1:45:40 AM MDT","4hrs"
"2021/10/29 2:55:36 AM MDT","11hrs"
"2021/10/29 3:02:48 PM MDT","4hrs"
"2021/10/30 10:18:11 AM MDT","4hrs"
"2021/10/30 10:18:19 AM MDT","5hrs"
"2021/10/30 10:18:42 AM MDT","5hrs"